barcode,name,description,quantity,min_quantity,unit_price,category,location,supplier
1234567890123,Laptop Dell Inspiron 15,Portátil com 8GB RAM e 256GB SSD,50,5,599.99,Informática,Loja A,Dell Portugal
9876543210987,Teclado Mecânico RGB,Teclado gaming com switches Cherry MX,120,10,89.99,Informática,Loja B,Logitech
4567891230456,Rato Óptico Sem Fios,Rato ergonómico com sensor óptico 1600 DPI,200,20,29.99,Informática,Loja A,Microsoft
7891234560789,Monitor LG 24 polegadas,Monitor Full HD IPS 24",75,8,149.99,Informática,Loja C,LG Electronics
3216549870321,Cabo HDMI 2m,Cabo HDMI de alta velocidade 2 metros,500,50,9.99,Informática,Loja A,Genérico
6543219870654,Webcam HD 1080p,Webcam com microfone integrado,80,8,49.99,Informática,Loja B,Logitech
1472583690147,Headset Gaming RGB,Auscultadores gaming com 7.1 surround,60,6,79.99,Informática,Loja A,Corsair
2583691470258,Disco Externo 1TB,Disco rígido externo USB 3.0,90,9,69.99,Informática,Loja C,Western Digital
3691472580369,Pendrive 64GB USB 3.0,Pendrive USB 3.0 com 64GB,300,30,12.99,Informática,Loja A,SanDisk
7418529630741,Carregador USB-C Universal,Carregador rápido 45W USB-C,150,15,24.99,Informática,Loja B,Anker

